cc,effective_year,region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,population,poor
TGO,2010,Sub-Saharan Africa,SSA,Togo,TGO,2010,national,,,,consumption,,,2.15,0.599,0.2686,0.1505,0.4144,2.5936,1.7444,,,,,,,,,,,,,,,246.5965,6571855,641.6734,571.6985,TRUE,micro,interpolation,6503000,3895297
THA,2010,East Asia & Pacific,EAP,Thailand,THA,2010,national,,,,consumption,,,2.15,0.0027,3e-04,1e-04,3e-04,13.7677,10.0774,,,,,,,,,,,,,,,13.2873,68270489,5082.2536,2651.5775,FALSE,micro,survey,67209000,181464.3
TJK,2010,Europe & Central Asia,ECA,Tajikistan,TJK,2010,national,,,,consumption,,,2.15,0.0601,0.0118,0.0036,0.0142,5.9935,5.0372,,,,,,,,,,,,,,,2.5948,7621779,773.6739,786.7248,TRUE,micro,interpolation,7642000,459284.2
TKM,2010,Europe & Central Asia,ECA,Turkmenistan,TKM,2010,national,,,,consumption,,,2.15,0.0842,0.0196,0.0072,0.0249,7.2378,5.2069,,,,,,,,,,,,,,,1.663,5267970,4119.5718,,TRUE,micro,extrapolation,5087000,428325.4
TLS,2010,East Asia & Pacific,EAP,Timor-Leste,TLS,2010,national,,,,consumption,,,2.15,0.3467,0.0797,0.0263,0.0982,3.0197,2.5712,,,,,,,,,,,,,,,0.5748,1088486,1191.1031,744.5266,TRUE,micro,interpolation,1110000,384837
TON,2010,East Asia & Pacific,EAP,Tonga,TON,2010,national,,,,consumption,,,2.15,0.0141,0.0032,0.0011,0.004,10.3935,8.141,,,,,,,,,,,,,,,1.7136,107383,3769.9259,,TRUE,micro,interpolation,104000,1466.4
TTO,2010,Latin America & Caribbean,LAC,Trinidad and Tobago,TTO,2010,national,,,,income,,,2.15,0.0019,0.001,0.001,0,32.9329,25.3308,,,,,,,,,,,,,,,4.6616,1410296,16821.489,,TRUE,group,extrapolation,1329000,2525.1
TUN,2010,Middle East & North Africa,MNA,Tunisia,TUN,2010,national,,,,consumption,,,2.15,0.0153,0.0029,9e-04,0.0035,11.6076,9.3002,,,,,,,,,,,,,,,0.7423,10895063,3860.6229,2476.5264,TRUE,micro,interpolation,10640000,162792
TUR,2010,Europe & Central Asia,ECA,Turkiye,TUR,2010,national,,,,consumption,,,2.15,0.0077,9e-04,1e-04,9e-04,16.7125,12.9233,,,,,,,,,,,,,,,1.6467,73195345,8390.8224,5244.0928,FALSE,micro,survey,72327000,556917.9
TUV,2010,East Asia & Pacific,EAP,Tuvalu,TUV,2010,national,,,,consumption,,,2.15,0.0363,0.0051,0.001,0.0057,8.3686,6.2685,,,,,,,,,,,,,,,1.251,10550,2896.7627,,FALSE,micro,survey,11000,399.3
TWN,2010,Other High Income Countries,OHI,"Taiwan, China",TWN,,,,,,,,,,0.00524648832704869,,,,,,,,,,,,,,,,,,,,,,,,,,regional,23102000,121204.373331479
TZA,2010,Sub-Saharan Africa,SSA,Tanzania,TZA,2010,national,,,,consumption,,,2.15,0.4943,0.162,0.0722,0.2217,2.9299,2.1623,,,,,,,,,,,,,,,754.6215,45110527,794.4539,547.1814,TRUE,micro,interpolation,46099000,22786735.7
UGA,2010,Sub-Saharan Africa,SSA,Uganda,UGA,2010,national,,,,consumption,,,2.15,0.4404,0.1438,0.0653,0.2001,3.4816,2.3721,,,,,,,,,,,,,,,1221.0876,32341728,793.8744,598.2774,TRUE,micro,interpolation,33915000,14936166
UKR,2010,Europe & Central Asia,ECA,Ukraine,UKR,2010,national,,,,consumption,,,2.15,1e-04,9.9877e-06,9.4463e-07,0,11.8026,10.5545,,,,,,,,,,,,,,,7.0057,45870741,2315.1001,1436.9586,FALSE,micro,survey,45793000,4579.3
URY,2010,Latin America & Caribbean,LAC,Uruguay,URY,2010,national,,,,income,,,2.15,0.0017,6e-04,3e-04,6e-04,24.382,16.897,,,,,,,,,,,,,,,24.8543,3352651,14572.7634,,FALSE,micro,survey,3374000,5735.8
USA,2010,Other High Income Countries,OHI,United States,USA,2010,national,,,,income,,,2.15,0.01,0.0087,0.0079,0.0091,68.5799,53.341,,,,,,,,,,,,,,,1,309327143,52963.4642,35722.2743,FALSE,micro,survey,308641000,3086410
UZB,2010,Europe & Central Asia,ECA,Uzbekistan,UZB,2010,national,,,,consumption,,,2.15,0.5774,0.1977,0.0921,0.2776,2.4571,1.9343,,,,,,,,,,,,,,,1521.4752,28562400,2131.3577,1187.8508,TRUE,micro,extrapolation,28607000,16517681.8
VCT,2010,Latin America & Caribbean,LCN,St. Vincent and the Grenadines,VCT,,,,,,,,,,0.0639203982973968,,,,,,,,,,,,,,,,,,,,,,,,,,regional,110000,7031.24381271364
VEN,2010,Latin America & Caribbean,LAC,"Venezuela, RB",VEN,2010,national,,,,income,,,2.15,0.0682,0.0381,0.0308,0.0232,12.1072,8.7281,,,,,,,,,,,,,,,315.907,28715022,18703.22,,TRUE,micro,extrapolation,29028000,1979709.6
VGB,2010,Other High Income Countries,LCN,British Virgin Islands,VGB,,,,,,,,,,0.00524648832704869,,,,,,,,,,,,,,,,,,,,,,,,,,regional,27000,141.655184830315
VIR,2010,Other High Income Countries,LCN,Virgin Islands (U.S.),VIR,,,,,,,,,,0.00524648832704869,,,,,,,,,,,,,,,,,,,,,,,,,,regional,106000,556.127762667161
VNM,2010,East Asia & Pacific,EAP,Vietnam,VNM,2010,national,,,,consumption,,,2.15,0.0287,0.0056,0.0018,0.0069,9.6244,7.1777,,,,,,,,,,,,,,,7807.6123,87411012,2028.6055,1208.6296,FALSE,micro,survey,88473000,2539175.1
VUT,2010,East Asia & Pacific,EAP,Vanuatu,VUT,2010,national,,,,consumption,,,2.15,0.1465,0.0364,0.0136,0.0467,5.2963,4.1238,,,,,,,,,,,,,,,117.3665,245453,2748.3419,1765.5339,FALSE,micro,survey,236000,34574
WSM,2010,East Asia & Pacific,EAP,Samoa,WSM,2010,national,,,,consumption,,,2.15,0.0078,0.001,2e-04,0.0011,11.1234,7.9769,,,,,,,,,,,,,,,1.8513,194672,4106.4962,,TRUE,micro,interpolation,186000,1450.8
,2010,Europe & Central Asia,ECA,Kosovo,XKX,,,,,,,,,,0.0408101708687521,,,,,,,,,,,,,,,,,,,,,,,,,,regional,,
YEM,2010,Middle East & North Africa,MNA,"Yemen, Rep.",YEM,2010,national,,,,consumption,,,2.15,0.1049,0.0208,0.0067,0.0256,5.4565,4.2455,,,,,,,,,,,,,,,255.6836,24743946,2547.6403,,TRUE,micro,interpolation,23607000,2476374.3
ZAF,2010,Sub-Saharan Africa,SSA,South Africa,ZAF,2010,national,,,,consumption,,,2.15,0.1804,0.0549,0.0238,0.0752,12.6934,4.9755,,,,,,,,,,,,,,,6.5494,51784921,6018.2308,3798.8744,FALSE,micro,survey,51585000,9305934
ZMB,2010,Sub-Saharan Africa,SSA,Zambia,ZMB,2010,national,,,,consumption,,,2.15,0.644,0.3144,0.1876,0.5082,2.6798,1.5376,,,,,,,,,,,,,,,4.2238,13792086,1198.3048,,FALSE,micro,survey,13850000,8919400
ZWE,2010,Sub-Saharan Africa,SSA,Zimbabwe,ZWE,2010,national,,,,consumption,,,2.15,0.2706,0.0743,0.0269,0.0976,4.8325,3.3623,,,,,,,,,,,,,,,0.485,12839771,1096.8355,959.3726,TRUE,group,extrapolation,14086000,3811671.6
ABW,2011,Other High Income Countries,LCN,Aruba,ABW,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,102000,578.576901519863
AFG,2011,South Asia,SAS,Afghanistan,AFG,,,,,,,,,,0.215119483834024,,,,,,,,,,,,,,,,,,,,,,,,,,regional,29708000,6390769.62574119
AGO,2011,Sub-Saharan Africa,SSA,Angola,AGO,2011,national,,,,consumption,,,2.15,0.177,0.0551,0.0249,0.0769,6.4101,4.4593,,,,,,,,,,,,,,,107.27,24259111,2982.6652,1374.5317,TRUE,micro,interpolation,24219000,4286763
ALB,2011,Europe & Central Asia,ECA,Albania,ALB,2011,national,,,,consumption,,,2.15,0.0052,0.0011,4e-04,0.0013,9.7701,8.3823,,,,,,,,,,,,,,,50.3574,2905195,3678.0477,2981.6162,TRUE,micro,interpolation,2926000,15215.2
AND,2011,Other High Income Countries,ECS,Andorra,AND,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,83000,470.802772805379
ARE,2011,Other High Income Countries,OHI,United Arab Emirates,ARE,2011,national,,,,income,,,2.15,0,0,0,0,75.246,67.6572,,,,,,,,,,,,,,,2.8348,8575205,35265.8874,17340.8594,TRUE,group,extrapolation,8673000,0
ARG,2011,Latin America & Caribbean,LAC,Argentina,ARG,2011,urban,,,,income,,,2.15,0.0071,0.0029,0.0019,0.0024,28.9393,21.5413,,,,,,,,,,,,,,,10.8079,37543830,14200.2699,9144.3205,FALSE,micro,survey,41656000,295757.6
ARM,2011,Europe & Central Asia,ECA,Armenia,ARM,2011,national,,,,consumption,,,2.15,0.0119,0.0019,5e-04,0.0022,7.2667,6.1818,,,,,,,,,,,,,,,167.3122,2928976,3043.2628,2694.112,FALSE,micro,survey,2875000,34212.5
ASM,2011,Other High Income Countries,EAS,American Samoa,ASM,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,55000,311.977741015613
ATG,2011,Other High Income Countries,LCN,Antigua and Barbuda,ATG,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,96000,544.542966136342
AUS,2011,Other High Income Countries,OHI,Australia,AUS,2011,national,,,,income,,,2.15,0.0039,0.0032,0.0026,0.0092,63.0997,50.5572,,,,,,,,,,,,,,,1.5293,22340024,54700.512,31047.169,TRUE,micro,interpolation,22479000,87668.1
AUT,2011,Other High Income Countries,OHI,Austria,AUT,2011,national,,,,income,,,2.15,0.0042,0.0031,0.0027,0.0093,61.9094,53.4929,,,,,,,,,,,,,,,0.8309,8391643,44451.0002,23686.691,FALSE,micro,survey,8460000,35532
AZE,2011,Europe & Central Asia,ECA,Azerbaijan,AZE,2011,national,,,,consumption,,,2.15,0,0,0,0,19.0281,15.7758,,,,,,,,,,,,,,,0.487,9173082,5152.8394,,TRUE,micro,extrapolation,9147000,0
BDI,2011,Sub-Saharan Africa,SSA,Burundi,BDI,2011,national,,,,consumption,,,2.15,0.6855,0.2665,0.1307,0.3788,2.1577,1.6153,,,,,,,,,,,,,,,654.4216,9455733,299.0172,211.9988,TRUE,micro,interpolation,9043000,6198976.5
BEL,2011,Other High Income Countries,OHI,Belgium,BEL,2011,national,,,,income,,,2.15,0.0017,9e-04,7e-04,9e-04,52.9982,47.5282,,,,,,,,,,,,,,,0.8453,11038264,39929.0951,20406.3971,FALSE,micro,survey,11014000,18723.8
BEN,2011,Sub-Saharan Africa,SSA,Benin,BEN,2011,national,,,,consumption,,,2.15,0.5467,0.1998,0.0947,0.2804,2.9639,1.978,,,,,,,,,,,,,,,219.4763,9726380,962.7446,760.5866,TRUE,micro,interpolation,9461000,5172328.7
BFA,2011,Sub-Saharan Africa,SSA,Burkina Faso,BFA,2011,national,,,,consumption,,,2.15,0.4663,0.1397,0.0582,0.1862,3.0703,2.2504,,,,,,,,,,,,,,,199.7414,16602651,583.6795,416.7518,TRUE,micro,interpolation,16082000,7499036.6
BGD,2011,South Asia,SAS,Bangladesh,BGD,2011,national,,,,consumption,,,2.15,0.1712,0.0304,0.0083,0.0359,4.1521,3.3032,,,,,,,,,,,,,,,29.5141,150211005,1044.1115,792.0053,TRUE,micro,interpolation,153912000,26349734.4
BGR,2011,Europe & Central Asia,ECA,Bulgaria,BGR,2011,national,,,,income,,,2.15,0.0246,0.01,0.0058,0.012,16.1228,13.7821,,,,,,,,,,,,,,,0.7354,7348328,6611.0849,4126.4938,FALSE,micro,survey,7356000,180957.6
BHR,2011,Other High Income Countries,MEA,Bahrain,BHR,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,1279000,7254.90055925397
BHS,2011,Other High Income Countries,LCN,"Bahamas, The",BHS,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,366000,2076.0700583948
BIH,2011,Europe & Central Asia,ECA,Bosnia and Herzegovina,BIH,2011,national,,,,consumption,,,2.15,7e-04,2e-04,1e-04,3e-04,21.1846,17.6012,,,,,,,,,,,,,,,0.7819,3743142,4091.5827,3373.0108,FALSE,micro,survey,3688000,2581.6
BLR,2011,Europe & Central Asia,ECA,Belarus,BLR,2011,national,,,,consumption,,,2.15,1e-04,1.0225e-06,1.59e-08,1.0306e-06,14.5505,12.9234,,,,,,,,,,,,,,,6165.2094,9461643,5938.2535,2528.9142,FALSE,micro,survey,9468000,946.8
BLZ,2011,Latin America & Caribbean,LAC,Belize,BLZ,2011,national,,,,income,,,2.15,0.2024,0.09,0.0553,0.1432,7.3707,4.3763,,,,,,,,,,,,,,,1.309,329538,5742.6702,3219.2459,TRUE,micro,extrapolation,329000,66589.6
BMU,2011,Other High Income Countries,NAC,Bermuda,BMU,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,64000,363.028644090895
BOL,2011,Latin America & Caribbean,LAC,Bolivia,BOL,2011,national,,,,income,,,2.15,0.053,0.022,0.0124,0.0341,18.1224,12.8644,,,,,,,,,,,,,,,2.6119,10396246,2556.8303,1767.3467,FALSE,micro,survey,10079000,534187
BRA,2011,Latin America & Caribbean,LAC,Brazil,BRA,2011,national,,,,income,,,2.15,0.0532,0.022,0.0128,0.0294,18.372,11.1259,,,,,,,,,,,,,,,2.3274,198185302,8935.2763,5488.0594,FALSE,micro,survey,198686000,10570095.2
BRB,2011,Other High Income Countries,LCN,Barbados,BRB,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,281000,1593.92264046158
BRN,2011,Other High Income Countries,EAS,Brunei Darussalam,BRN,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,394000,2234.89509018457
BTN,2011,South Asia,SAS,Bhutan,BTN,2011,national,,,,consumption,,,2.15,0.0195,0.0034,9e-04,0.0041,9.7958,7.3237,,,,,,,,,,,,,,,20.4738,713331,2319.5909,971.9069,TRUE,micro,interpolation,741000,14449.5
BWA,2011,Sub-Saharan Africa,SSA,Botswana,BWA,2011,national,,,,consumption,,,2.15,0.1547,0.0456,0.0202,0.0634,11.1347,5.3905,,,,,,,,,,,,,,,5.0087,2134037,5684.2199,2352.6275,TRUE,micro,interpolation,2051000,317289.7
CAF,2011,Sub-Saharan Africa,SSA,Central African Republic,CAF,2011,national,,,,consumption,,,2.15,0.55,0.2451,0.1423,0.3946,3.3286,1.9409,,,,,,,,,,,,,,,306.8083,4732022,513.5943,481.6754,TRUE,micro,interpolation,4476000,2461800
CAN,2011,Other High Income Countries,OHI,Canada,CAN,2011,national,,,,income,,,2.15,0.0023,8e-04,3e-04,0.001,61.1467,51.519,,,,,,,,,,,,,,,1.2867,34339328,42037.5187,23873.3569,FALSE,micro,survey,34538000,79437.4
CHE,2011,Other High Income Countries,OHI,Switzerland,CHE,2011,national,,,,income,,,2.15,0,0,0,0,75.2866,63.6434,,,,,,,,,,,,,,,1.3586,7912398,81874.3362,42886.8667,FALSE,micro,survey,7930000,0
CHI,2011,Other High Income Countries,ECS,Channel Islands,CHI,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,161000,913.243932791157
CHL,2011,Latin America & Caribbean,LAC,Chile,CHL,2011,national,,,,income,,,2.15,0.0093,0.0031,0.0018,0.004,17.8443,11.6345,,,,,,,,,,,,,,,478.9957,17173573,12382.3795,7426.7935,FALSE,micro,survey,17153000,159522.9
CHN-R,2011,East Asia & Pacific,EAP,China,CHN,2011,rural,,,,consumption,,,2.15,0.1988,0.0476,0.0166,0.0598,4.8261,3.656,,,,,,,,,,,,,,,3.495,665644371,6152.6972,2201.3951,FALSE,aggregate,survey,676756000,134539092.8
CHN-U,2011,East Asia & Pacific,EAP,China,CHN,2011,urban,,,,consumption,,,2.15,0.0077,0.002,0.0011,0.0023,10.9058,8.673,,,,,,,,,,,,,,,4.3185,679390629,6152.6972,2201.3951,FALSE,aggregate,survey,690724000,5318574.8
CIV,2011,Sub-Saharan Africa,SSA,Cote d'Ivoire,CIV,2011,national,,,,consumption,,,2.15,0.4158,0.1489,0.0758,0.2208,3.5622,2.5586,,,,,,,,,,,,,,,247.1344,21562914,1520.3423,977.3344,TRUE,micro,interpolation,20896000,8688556.8
CMR,2011,Sub-Saharan Africa,SSA,Cameroon,CMR,2011,national,,,,consumption,,,2.15,0.335,0.1155,0.0532,0.1604,4.4536,3.0395,,,,,,,,,,,,,,,236.9115,20448873,1283.567,919.8385,TRUE,micro,interpolation,20520000,6874200
COD,2011,Sub-Saharan Africa,SSA,"Congo, Dem. Rep.",COD,2011,national,,,,consumption,,,2.15,0.7663,0.3871,0.2357,0.636,1.7266,1.2409,,,,,,,,,,,,,,,630.6055,68654269,406.201,280.1346,TRUE,micro,interpolation,66713000,51122171.9
COG,2011,Sub-Saharan Africa,SSA,"Congo, Rep.",COG,2011,national,,,,consumption,,,2.15,0.3966,0.1599,0.0845,0.2393,4.1193,2.6694,,,,,,,,,,,,,,,285.9693,4584216,2308.4235,841.5333,TRUE,micro,interpolation,4513000,1789855.8
COL,2011,Latin America & Caribbean,LAC,Colombia,COL,2011,national,,,,income,,,2.15,0.0683,0.0248,0.0138,0.0352,14.2825,8.2594,,,,,,,,,,,,,,,1419.3743,45308899,5511.0999,3734.2172,FALSE,micro,survey,46407000,3169598.1
COM,2011,Sub-Saharan Africa,SSA,Comoros,COM,2011,national,,,,consumption,,,2.15,0.1782,0.0599,0.0281,0.0847,7.1478,4.4715,,,,,,,,,,,,,,,213.5182,670071,1295.2044,1220.9418,TRUE,micro,interpolation,706000,125809.2
CPV,2011,Sub-Saharan Africa,SSA,Cabo Verde,CPV,2011,national,,,,consumption,,,2.15,0.0696,0.0156,0.0056,0.0199,9.1136,6.171,,,,,,,,,,,,,,,47.6121,527521,3208.3671,1884.3503,TRUE,micro,interpolation,508000,35356.8
CRI,2011,Latin America & Caribbean,LAC,Costa Rica,CRI,2011,national,,,,income,,,2.15,0.0175,0.0066,0.0042,0.0073,23.9121,15.3252,,,,,,,,,,,,,,,372.6693,4679926,10453.5226,6531.5675,FALSE,micro,survey,4600000,80500
CUB,2011,Latin America & Caribbean,LCN,Cuba,CUB,,,,,,,,,,0.0593076267850784,,,,,,,,,,,,,,,,,,,,,,,,,,regional,11355000,673438.102144565
CUW,2011,Other High Income Countries,LCN,Curacao,CUW,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,150000,850.848384588034
CYM,2011,Other High Income Countries,LCN,Cayman Islands,CYM,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,57000,323.322386143453
CYP,2011,Other High Income Countries,OHI,Cyprus,CYP,2011,national,,,,income,,,2.15,1e-04,1e-04,0,0,52.3826,42.2408,,,,,,,,,,,,,,,0.6682,1145086,25538.7715,16897.0293,FALSE,micro,survey,1125000,112.5
CZE,2011,Europe & Central Asia,ECA,Czech Republic,CZE,2011,national,,,,income,,,2.15,5e-04,2e-04,2e-04,5e-04,31.7746,28.4645,,,,,,,,,,,,,,,13.6514,10496088,16761.8273,8035.4228,FALSE,micro,survey,10569000,5284.5
DEU,2011,Other High Income Countries,OHI,Germany,DEU,2011,national,,,,income,,,2.15,0,0,0,0,58.4688,49.1714,,,,,,,,,,,,,,,0.7872,80274983,39977.3417,21113.9824,FALSE,micro,survey,80934000,0
DJI,2011,Middle East & North Africa,MNA,Djibouti,DJI,2011,national,,,,consumption,,,2.15,0.1981,0.0829,0.0491,0.143,5.67,4.0803,,,,,,,,,,,,,,,104.7365,936811,2036.9842,,TRUE,micro,interpolation,866000,171554.6
DMA,2011,Latin America & Caribbean,LCN,Dominica,DMA,,,,,,,,,,0.0593076267850784,,,,,,,,,,,,,,,,,,,,,,,,,,regional,72000,4270.14912852564
DNK,2011,Other High Income Countries,OHI,Denmark,DNK,2011,national,,,,income,,,2.15,0,0,0,0,57.6359,50.2536,,,,,,,,,,,,,,,7.891,5570572,51644.4635,24605.7064,FALSE,micro,survey,5583000,0
DOM,2011,Latin America & Caribbean,LAC,Dominican Republic,DOM,2011,national,,,,income,,,2.15,0.0406,0.0104,0.0044,0.0142,12.6917,8.151,,,,,,,,,,,,,,,24.3906,9903737,5827.3832,4364.6415,FALSE,micro,survey,10027000,407096.2
DZA,2011,Middle East & North Africa,MNA,Algeria,DZA,2011,national,,,,consumption,,,2.15,0.0048,0.0016,0.0011,0.0014,9.1885,8.0028,,,,,,,,,,,,,,,38.2097,36543541,3969.6603,1557.5546,TRUE,group,interpolation,36819000,176731.2
ECU,2011,Latin America & Caribbean,LAC,Ecuador,ECU,2011,national,,,,income,,,2.15,0.0467,0.0175,0.0103,0.0261,13.8755,9.5391,,,,,,,,,,,,,,,0.5745,15237728,5657.213,3648.01,FALSE,micro,survey,15177000,708765.9
EGY,2011,Middle East & North Africa,MNA,"Egypt, Arab Rep.",EGY,2011,national,,,,consumption,,,2.15,0.0098,0.0013,3e-04,0.0014,6.5975,5.4155,,,,,,,,,,,,,,,4.8435,89200054,3289.7781,2623.1952,TRUE,micro,interpolation,85898000,841800.4
ERI,2011,Sub-Saharan Africa,SSF,Eritrea,ERI,,,,,,,,,,0.40918044437457,,,,,,,,,,,,,,,,,,,,,,,,,,regional,4475000,1831082.4885762
ESP,2011,Other High Income Countries,OHI,Spain,ESP,2011,national,,,,income,,,2.15,0.0113,0.0086,0.0077,0.0077,44.4234,37.3038,,,,,,,,,,,,,,,0.7029,46742697,25402.6051,15219.3646,FALSE,micro,survey,46909000,530071.7
EST,2011,Europe & Central Asia,ECA,Estonia,EST,2011,national,,,,income,,,2.15,0.0098,0.0057,0.0044,0.0056,24.5606,20.1895,,,,,,,,,,,,,,,0.5964,1327439,15692.7888,7534.8314,FALSE,micro,survey,1329000,13024.2
ETH,2011,Sub-Saharan Africa,SSA,Ethiopia,ETH,2011,national,,,,consumption,,,2.15,0.3025,0.0812,0.0329,0.1075,3.4126,2.7852,,,,,,,,,,,,,,,8.4964,91817929,494.0432,377.7027,TRUE,micro,interpolation,90047000,27239217.5
FIN,2011,Other High Income Countries,OHI,Finland,FIN,2011,national,,,,income,,,2.15,5e-04,4e-04,4e-04,0.0011,55.0163,47.4981,,,,,,,,,,,,,,,0.9333,5388272,44466.8177,23226.3192,FALSE,micro,survey,5389000,2694.5
FJI,2011,East Asia & Pacific,EAP,Fiji,FJI,2011,national,,,,consumption,,,2.15,0.0069,0.001,2e-04,0.0011,10.6811,7.8272,,,,,,,,,,,,,,,0.9859,908355,4397.9034,,TRUE,micro,interpolation,867000,5982.3
FRA,2011,Other High Income Countries,OHI,France,FRA,2011,national,,,,income,,,2.15,3e-04,0,8.4494e-06,0,58.408,47.5955,,,,,,,,,,,,,,,0.8354,65345233,36244.1872,19701.9733,FALSE,micro,survey,63343000,19002.9
FRO,2011,Other High Income Countries,ECS,Faroe Islands,FRO,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,49000,277.943805632091
FSM,2011,East Asia & Pacific,EAP,"Micronesia, Fed. Sts.",FSM,2011,national,,,,consumption,,,2.15,0.1284,0.0436,0.0225,0.0669,6.5281,4.9139,,,,,,,,,,,,,,,0.9772,107887,3019.9027,,TRUE,micro,interpolation,103000,13225.2
GAB,2011,Sub-Saharan Africa,SSA,Gabon,GAB,2011,national,,,,consumption,,,2.15,0.048,0.0108,0.004,0.0141,10.1541,7.6585,,,,,,,,,,,,,,,319.1603,1772500,6735.0829,2432.7116,TRUE,micro,interpolation,1697000,81456
GBR,2011,Other High Income Countries,OHI,United Kingdom,GBR,2011,national,,,,income,,,2.15,0.0025,0.0017,0.0012,0.003,50.9106,42.2601,,,,,,,,,,,,,,,0.7797,63258810,42504.8964,26972.8803,FALSE,micro,survey,63812000,159530
GEO,2011,Europe & Central Asia,ECA,Georgia,GEO,2011,national,,,,consumption,,,2.15,0.134,0.0428,0.0202,0.0619,6.3028,4.8704,,,,,,,,,,,,,,,0.9247,3756441,3356.9362,2596.7037,FALSE,micro,survey,4172000,559048
GHA,2011,Sub-Saharan Africa,SSA,Ghana,GHA,2011,national,,,,consumption,,,2.15,0.3019,0.1017,0.0485,0.1452,4.3952,3.2006,,,,,,,,,,,,,,,1.751,26205941,1530.3595,1118.4752,TRUE,micro,interpolation,25122000,7584331.8
GIB,2011,Other High Income Countries,ECS,Gibraltar,GIB,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,33000,187.186644609368
GIN,2011,Sub-Saharan Africa,SSA,Guinea,GIN,2011,national,,,,consumption,,,2.15,0.3331,0.0973,0.0414,0.1315,3.4407,2.7433,,,,,,,,,,,,,,,3446.9322,10527712,704.7373,578.3901,TRUE,micro,interpolation,11035000,3675758.5
GMB,2011,Sub-Saharan Africa,SSA,"Gambia, The",GMB,2011,national,,,,consumption,,,2.15,0.3125,0.0999,0.045,0.1384,4.1871,3.0117,,,,,,,,,,,,,,,15.1142,1998212,620.9482,511.5479,TRUE,micro,interpolation,1747000,545937.5
GNB,2011,Sub-Saharan Africa,SSA,Guinea-Bissau,GNB,2011,national,,,,consumption,,,2.15,0.4943,0.1927,0.1011,0.2923,3.438,2.1695,,,,,,,,,,,,,,,232.1995,1609017,599.0452,513.3564,TRUE,micro,interpolation,1597000,789397.1
GNQ,2011,Sub-Saharan Africa,SSF,Equatorial Guinea,GNQ,,,,,,,,,,0.40918044437457,,,,,,,,,,,,,,,,,,,,,,,,,,regional,994000,406725.361708322
GRC,2011,Other High Income Countries,OHI,Greece,GRC,2011,national,,,,income,,,2.15,0.0112,0.0085,0.0077,0.0057,29.752,25.8502,,,,,,,,,,,,,,,0.6463,11104899,19400.8077,13542.6217,FALSE,micro,survey,11423000,127937.6
GRD,2011,Latin America & Caribbean,LCN,Grenada,GRD,,,,,,,,,,0.0593076267850784,,,,,,,,,,,,,,,,,,,,,,,,,,regional,105000,6227.30081243323
GRL,2011,Other High Income Countries,ECS,Greenland,GRL,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,57000,323.322386143453
GTM,2011,Latin America & Caribbean,LAC,Guatemala,GTM,2011,national,,,,income,,,2.15,0.1062,0.0325,0.0152,0.0457,10.3821,6.4776,,,,,,,,,,,,,,,4.4033,14521515,3688.8589,3071.2598,TRUE,micro,interpolation,14949000,1587583.8
GUM,2011,Other High Income Countries,EAS,Guam,GUM,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,159000,901.899287663316
GUY,2011,Latin America & Caribbean,LAC,Guyana,GUY,2011,national,,,,income,,,2.15,0.0835,0.0433,0.0329,0.1122,11.5071,8.3038,,,,,,,,,,,,,,,115.6263,744230,5147.1724,,TRUE,micro,extrapolation,749000,62541.5
HKG,2011,Other High Income Countries,EAS,"Hong Kong SAR, China",HKG,,,,,,,,,,0.00567232256392023,,,,,,,,,,,,,,,,,,,,,,,,,,regional,7066000,40080.6312366603
